"TEAM","M","W","D","L","GF","GA","DIFF","POINTS","POSITION","SEASON"
"Bayern Munich",34,17,10,7,68,37,31,61,1,1994
"Kaiserslautern",34,18,7,9,64,36,28,61,2,1994
"Dortmund",34,15,9,10,49,45,4,54,3,1994
"Ein Frankfurt",34,15,8,11,57,41,16,53,4,1994
"Leverkusen",34,14,11,9,60,47,13,53,5,1994
"Karlsruhe",34,14,10,10,46,43,3,52,6,1994
"Duisburg",34,14,8,12,41,52,-11,50,7,1994
"Stuttgart",34,13,11,10,51,43,8,50,8,1994
"M'Gladbach",34,14,7,13,65,59,6,49,9,1994
"Werder Bremen",34,13,10,11,51,44,7,49,10,1994
"FC Koln",34,14,6,14,49,51,-2,48,11,1994
"Hamburg",34,13,8,13,48,52,-4,47,12,1994
"Dresden",34,10,14,10,33,44,-11,44,13,1994
"Schalke 04",34,10,9,15,38,50,-12,39,14,1994
"Freiburg",34,10,8,16,54,57,-3,38,15,1994
"Nurnberg",34,10,8,16,41,55,-14,38,16,1994
"Wattenscheid",34,6,11,17,48,70,-22,29,17,1994
"Leipzig",34,3,11,20,32,69,-37,20,18,1994
"Dortmund",34,20,9,5,67,33,34,69,1,1995
"Werder Bremen",34,20,8,6,70,39,31,68,2,1995
"Freiburg",34,20,6,8,66,44,22,66,3,1995
"Kaiserslautern",34,17,12,5,58,41,17,63,4,1995
"M'gladbach",34,17,9,8,66,41,25,60,5,1995
"Bayern Munich",34,15,13,6,55,41,14,58,6,1995
"Leverkusen",34,13,10,11,62,51,11,49,7,1995
"Karlsruhe",34,11,14,9,51,47,4,47,8,1995
"Ein Frankfurt",34,12,9,13,41,49,-8,45,9,1995
"FC Koln",34,11,10,13,54,54,0,43,10,1995
"Schalke 04",34,10,11,13,48,54,-6,41,11,1995
"Stuttgart",34,10,10,14,52,66,-14,40,12,1995
"Hamburg",34,10,9,15,43,50,-7,39,13,1995
"Munich 1860",34,8,11,15,41,57,-16,35,14,1995
"Uerdingen",34,7,11,16,37,52,-15,32,15,1995
"Bochum",34,9,4,21,43,67,-24,31,16,1995
"Duisburg",34,6,8,20,31,64,-33,26,17,1995
"Dresden",34,4,8,22,33,68,-35,20,18,1995
"Dortmund",34,19,11,4,76,38,38,68,1,1996
"Bayern Munich",34,19,5,10,66,46,20,62,2,1996
"Schalke 04",34,14,14,6,45,36,9,56,3,1996
"M'gladbach",34,15,8,11,52,51,1,53,4,1996
"Hamburg",34,12,14,8,52,47,5,50,5,1996
"Hansa Rostock",34,13,10,11,47,43,4,49,6,1996
"Karlsruhe",34,12,12,10,53,47,6,48,7,1996
"Munich 1860",34,11,12,11,52,46,6,45,8,1996
"Werder Bremen",34,10,14,10,39,42,-3,44,9,1996
"Stuttgart",34,10,13,11,59,62,-3,43,10,1996
"Freiburg",34,11,9,14,30,41,-11,42,11,1996
"Dusseldorf",34,8,16,10,40,47,-7,40,12,1996
"FC Koln",34,9,13,12,33,35,-2,40,13,1996
